bin,upper_value
0,5.0
1,37.6530612245
2,70.306122449
3,102.959183673
4,135.612244898
5,168.265306122
6,200.918367347
7,233.571428571
8,266.224489796
9,298.87755102
10,331.530612245
11,364.183673469
12,396.836734694
13,429.489795918
14,462.142857143
15,494.795918367
16,527.448979592
17,560.102040816
18,592.755102041
19,625.408163265
20,658.06122449
21,690.714285714
22,723.367346939
23,756.020408163
24,788.673469388
25,821.326530612
26,853.979591837
27,886.632653061
28,919.285714286
29,951.93877551
30,984.591836735
31,1017.24489796
32,1049.89795918
33,1082.55102041
34,1115.20408163
35,1147.85714286
36,1180.51020408
37,1213.16326531
38,1245.81632653
39,1278.46938776
40,1311.12244898
41,1343.7755102
42,1376.42857143
43,1409.08163265
44,1441.73469388
45,1474.3877551
46,1507.04081633
47,1539.69387755
48,1572.34693878
49,1605.0
